Satellite Date/Time UTC,Solar Panel Voltage X mV,Solar Panel Voltage Y mV,Solar Panel Voltage Z mV,Total Photo Current mA,Battery Voltage mV,Total System Current mA,Boost Converter Temp 1 C,Boost Converter Temp 2 C,Boost Converter Temp 3 C,Battery Temp C,Sun Sensor X+,Sun Sensor Y+,Sun Sensor Z+,Solar Panel Temp X+ C,Solar Panel Temp X- C,Solar Panel Temp Y+ C,Solar Panel Temp Y- C,3.3 Bus Voltage mV,3.3 Bus Current mA,5.0 Bus Voltage mV,RF Temperature C,Receive Current mA,RF Current 3.3V Bus mA,RF Current 5.0V Bus mA,PA Device Temperature C,PA Bus Current mA,Antenna Temp 0 C,Antenna Temp 1 C
2019-03-21 17:45:26.0,4388,4270,4198,187,8292,141,22,22,22,22,4.42,3.54,2.48,21.01,21.96,20.81,21.93,3280.00,144.00,4956.00,25.70,41,58,29,34.9,38.3,15.3,15.3
2019-03-21 17:45:31.0,4404,4505,4186,186,8292,146,22,22,22,22,4.42,4.42,0.00,21.84,21.75,20.81,21.72,3276.00,134.00,4956.00,24.84,41,59,29,34.9,41.6,16.5,15.3
2019-03-21 17:45:36.0,4304,4410,4175,164,8292,151,22,22,22,22,3.06,4.41,0.00,22.25,21.33,21.22,21.30,3280.00,144.00,4956.00,24.84,41,58,29,34.9,38.8,16.5,15.3
2019-03-21 17:45:41.0,4444,4427,4164,194,8292,146,22,22,22,22,0.54,4.41,0.00,22.25,21.12,21.85,21.09,3280.00,133.00,4956.00,25.70,41,59,29,34.9,41.6,15.3,15.3
2019-03-21 17:45:46.0,4505,4444,4460,147,8292,146,22,22,22,22,0.00,4.41,3.64,21.84,21.33,22.47,20.68,3276.00,141.00,4956.00,24.84,41,58,29,34.9,38.8,16.5,15.3
2019-03-21 17:45:51.0,4466,4533,4471,156,8282,141,22,22,22,22,0.00,1.62,4.36,21.42,21.75,22.47,20.26,3280.00,135.00,4956.00,25.70,41,59,29,34.9,41.0,16.5,15.3
2019-03-21 17:45:56.0,4488,4449,4466,162,8292,146,23,22,22,22,2.41,0.00,3.94,21.01,22.58,22.06,20.47,3276.00,142.00,4956.00,25.70,41,58,29,34.9,39.4,15.3,15.3
2019-03-21 17:46:01.0,4270,4410,4388,152,8282,146,22,22,22,22,3.35,0.00,3.90,20.59,22.58,21.64,20.89,3280.00,136.00,4956.00,24.84,41,59,29,34.9,41.6,15.3,15.3
2019-03-21 17:46:06.0,4270,4410,4388,152,8282,146,22,22,22,22,3.35,0.00,3.90,20.59,22.58,21.64,20.89,3280.00,136.00,4956.00,24.84,41,59,29,34.9,41.6,15.3,15.3
2019-03-21 17:46:11.0,4455,4281,4175,162,8292,141,22,22,22,22,4.42,2.85,0.00,21.01,22.17,21.02,22.14,3280.00,134.00,4956.00,25.70,41,59,29,34.9,41.6,15.3,15.3
2019-03-21 17:46:16.0,4466,4449,4321,174,8292,151,22,22,22,22,4.42,4.41,0.00,21.63,21.96,20.81,21.93,3280.00,132.00,4956.00,25.70,41,58,29,34.9,38.8,15.3,15.3
2019-03-21 17:46:21.0,4449,4432,4388,164,8282,146,22,22,22,22,4.02,4.41,0.00,22.25,21.54,20.81,21.51,3280.00,134.00,4956.00,24.84,41,59,29,34.9,38.8,15.3,15.3
2019-03-21 17:46:26.0,4438,4438,4343,159,8282,146,22,22,22,22,2.16,4.41,0.00,22.25,21.33,21.64,21.09,3276.00,141.00,4956.00,24.84,41,58,29,34.9,39.4,15.3,15.3
2019-03-21 17:46:31.0,4438,4438,4343,159,8282,146,22,22,22,22,2.16,4.41,0.00,22.25,21.33,21.64,21.09,3276.00,141.00,4956.00,24.84,41,58,29,34.9,39.4,15.3,15.3
2019-03-21 17:46:36.0,4455,4019,4130,169,8292,146,22,22,22,22,0.00,2.29,0.00,21.63,21.75,22.47,20.47,3276.00,140.00,4956.00,24.84,41,58,29,34.9,39.9,15.3,15.3
2019-03-21 17:46:41.0,4337,4566,4147,169,8292,146,22,22,22,22,1.08,0.00,3.41,21.21,22.37,22.26,20.26,3276.00,131.00,4956.00,24.84,41,59,29,34.9,39.4,15.3,15.3
2019-03-21 17:46:46.0,4376,4421,4153,144,8282,146,22,22,22,22,2.80,0.00,2.22,20.59,22.58,21.64,20.68,3280.00,144.00,4956.00,25.70,41,58,29,34.9,38.8,15.3,15.3
2019-03-21 17:46:51.0,4566,4399,4147,148,8292,151,22,22,22,22,4.42,1.62,1.08,20.38,22.58,21.43,21.30,3276.00,133.00,4956.00,24.84,41,59,29,34.9,40.5,15.3,15.3
2019-03-21 17:46:56.0,4566,4399,4147,148,8292,151,22,22,22,22,4.42,1.62,1.08,20.38,22.58,21.43,21.30,3276.00,133.00,4956.00,24.84,41,59,29,34.9,40.5,15.3,15.3
2019-03-21 17:47:01.0,4444,4444,4382,160,8282,151,22,22,22,22,4.42,3.70,0.00,21.21,21.96,20.60,21.93,3280.00,133.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:47:06.0,4488,4494,4471,152,8292,151,22,22,22,22,4.42,4.41,0.00,22.04,21.75,20.60,21.72,3276.00,144.00,4956.00,24.84,41,58,29,34.9,38.8,15.3,14.1
2019-03-21 17:47:11.0,3801,4438,4455,152,8282,155,22,22,22,22,2.67,4.41,0.00,22.25,21.33,21.02,21.30,3280.00,133.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:47:16.0,4550,4460,4315,152,8282,146,22,22,22,22,0.00,4.41,0.00,21.84,21.12,21.64,20.89,3280.00,134.00,4956.00,24.84,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:47:21.0,4550,4460,4315,152,8282,146,22,22,22,22,0.00,4.41,0.00,21.84,21.12,21.64,20.89,3280.00,134.00,4956.00,24.84,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:47:26.0,4488,4455,4360,154,8282,146,22,22,22,22,0.00,1.62,3.79,21.21,21.96,22.26,20.26,3280.00,143.00,4956.00,24.84,41,58,29,34.9,39.4,15.3,14.1
2019-03-21 17:47:31.0,4421,4399,4499,186,8292,146,22,22,22,22,2.29,0.00,3.41,20.80,22.58,21.85,20.26,3276.00,132.00,4956.00,24.84,41,59,29,34.9,40.5,15.3,14.1
2019-03-21 17:47:36.0,4421,4399,4337,158,8292,141,22,22,22,22,3.89,0.54,3.86,20.59,22.58,21.43,21.09,3276.00,141.00,4956.00,25.70,41,58,29,34.9,38.8,15.3,14.1
2019-03-21 17:47:41.0,4421,4399,4337,158,8292,141,22,22,22,22,3.89,0.54,3.86,20.59,22.58,21.43,21.09,3276.00,141.00,4956.00,25.70,41,58,29,34.9,38.8,15.3,14.1
2019-03-21 17:47:46.0,4421,4399,4337,158,8292,141,22,22,22,22,3.89,0.54,3.86,20.59,22.58,21.43,21.09,3276.00,141.00,4956.00,25.70,41,58,29,34.9,38.8,15.3,14.1
2019-03-21 17:47:51.0,4505,4483,4242,158,8282,151,22,22,22,22,4.42,4.41,0.00,21.42,21.75,20.39,21.72,3276.00,134.00,4956.00,24.84,41,59,29,34.9,41.6,15.3,14.1
